cuisine,id,salt,onions,olive_oil,water,garlic,sugar,garlic_cloves,butter,ground_black_pepper,all-purpose_flour,pepper,vegetable_oil,eggs,soy_sauce,kosher_salt,green_onions,tomatoes,large_eggs,carrots,unsalted_butter
mexican,1299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
italian,40429.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cajun_creole,34419.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
mexican,10276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
thai,33465.0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
italian,39250.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cajun_creole,37963.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,20051.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
filipino,11300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
southern_us,17610.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
southern_us,37405.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,28302.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
brazilian,31634.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,32304.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,36341.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mexican,29369.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
chinese,27564.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
french,18515.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,3335.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
southern_us,4499.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,4906.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
japanese,5767.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
southern_us,30748.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
italian,35930.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
southern_us,44902.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
italian,31119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamaican,3535.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
japanese,47028.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
indian,38112.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
italian,2646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
irish,5206.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thai,38233.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thai,39267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,11913.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
jamaican,20591.0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
italian,70.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
thai,43928.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
korean,8530.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
french,275.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french,43769.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,49111.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spanish,11886.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
indian,45839.0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
moroccan,699.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
italian,24568.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
italian,8820.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
moroccan,16582.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
moroccan,9058.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vietnamese,4715.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,29061.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
mexican,2107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cajun_creole,22825.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
southern_us,13758.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
french,6886.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,14874.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,43399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,38254.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,41596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
indian,33989.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
korean,17004.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spanish,4969.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
italian,31831.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,46648.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
southern_us,36888.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
greek,34471.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,25164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,39600.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,46357.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
indian,46905.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,8753.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,37337.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,17636.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,8997.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
italian,28851.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
greek,4635.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korean,7782.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,8031.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mexican,49434.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,31318.0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
irish,31027.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
korean,47095.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chinese,4574.0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
mexican,19757.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
southern_us,35570.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chinese,44812.0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
moroccan,27858.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
irish,18624.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
chinese,9406.0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
irish,35132.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mexican,33071.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,8321.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,20955.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
italian,45776.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
jamaican,6043.0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
mexican,336.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,25751.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
spanish,793.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinese,34367.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mexican,7406.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
british,7473.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
indian,7532.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thai,5924.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,5802.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
mexican,41078.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spanish,20665.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french,39471.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
italian,9595.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
indian,27869.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
british,44776.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
spanish,17771.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
italian,43970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korean,27165.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
indian,11190.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mexican,21872.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
mexican,29853.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,1154.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
french,9069.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cajun_creole,46975.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
indian,4892.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
chinese,21467.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
italian,20919.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,42013.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
italian,17821.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,44138.0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
greek,5980.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,41961.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cajun_creole,27008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,31867.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korean,34248.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
mexican,13792.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,38502.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
italian,7023.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mexican,7783.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
korean,2472.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
chinese,45193.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
french,7501.0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
chinese,34930.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
spanish,42967.0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
chinese,14080.0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
spanish,45352.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,46205.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,47427.0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
french,40064.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
japanese,9010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
mexican,18611.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,35124.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
filipino,45605.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,16334.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,32035.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
italian,16810.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chinese,3641.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
mexican,43374.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
indian,9112.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korean,14970.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mexican,41396.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mexican,4748.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
japanese,41833.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
greek,18031.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
mexican,29734.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,26415.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
chinese,29801.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
british,24351.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
japanese,8480.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
italian,27023.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mexican,10425.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
irish,37188.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greek,24338.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cajun_creole,3457.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,1355.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,40738.0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
southern_us,42380.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,16857.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
southern_us,2923.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
italian,7528.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
indian,15990.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinese,27615.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
japanese,26061.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mexican,23053.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,5090.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
french,36862.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mexican,873.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,23726.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
irish,48576.0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
chinese,25118.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
mexican,17586.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
greek,22678.0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
korean,428.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
mexican,6745.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spanish,31009.0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
italian,20983.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
southern_us,19572.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
italian,15273.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mexican,14198.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
french,18643.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mexican,17816.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
french,46893.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
filipino,1110.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,21375.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,42833.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
italian,5328.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
mexican,17188.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
southern_us,19622.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,26498.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
japanese,27140.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
italian,32353.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mexican,37070.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mexican,2298.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,15291.0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
southern_us,8274.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
italian,23521.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
jamaican,28342.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
italian,8791.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
korean,242.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
southern_us,15347.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
indian,20981.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,39391.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
indian,23147.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
mexican,44020.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
korean,3245.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
southern_us,40403.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vietnamese,33603.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
korean,19691.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
indian,6862.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
southern_us,20123.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,22712.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,31428.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
italian,9373.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
italian,7666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
korean,40617.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
thai,26676.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,38067.0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
chinese,14778.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
french,636.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
greek,35408.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,22658.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
mexican,44866.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,18389.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
southern_us,40014.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
mexican,20863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
japanese,35041.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
british,30649.0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
japanese,14351.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mexican,14146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filipino,48911.0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
mexican,4252.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mexican,46135.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,20668.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mexican,4009.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indian,40466.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
greek,32480.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
italian,8223.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mexican,4114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
chinese,3605.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
